name,genre,year_of_release,publisher,sales,critic_score,user_score,developer,rating,platform,min_age
LEGO Batman: The Videogame,Action,2008,Warner Bros. Interactive Entertainment,1.29,75,7.7,Traveller's Tales,E10+,PS3,10
Assassin's Creed: Rogue,Action,2014,Ubisoft,1.29,72,7.5,Ubisoft,M,PS3,17
EA Playground,Sports,2007,Electronic Arts,1.29,66,7.6,EA,E,Wii,0
Need for Speed Carbon,Racing,2006,Electronic Arts,1.28,67,7.3,EA,E10+,Wii,10
Castlevania: Symphony of the Night,Platform,1997,Konami Digital Entertainment,1.27,93,9.4,Konami,T,PS,13
Guitar Hero: Aerosmith,Misc,2008,Activision,1.27,73,7.2,Vicarious Visions,T,Wii,13
The LEGO Movie Videogame,Action,2014,Warner Bros. Interactive Entertainment,1.27,69,7.2,TT Games,E10+,X360,10
The Sims 2: Nightlife,Simulation,2005,Electronic Arts,1.27,76,6.6,Maxis,T,PC,13
LEGO Batman: The Videogame,Action,2008,Warner Bros. Interactive Entertainment,1.27,77,8.9,Traveller's Tales,E10+,PS2,10
NBA 2K9,Sports,2008,Take-Two Interactive,1.27,84,7.2,Visual Concepts,E,X360,0
Tony Hawk's Underground,Sports,2003,Activision,1.27,85,9.1,Neversoft Entertainment,T,XB,13
WWE '12,Fighting,2011,Other,1.27,71,6.3,Yuke's,T,X360,13
EA Sports Active 2,Sports,2010,Electronic Arts,1.26,79,8.1,EA,E,Wii,0
NBA Live 2001,Sports,2000,Electronic Arts,1.25,86,8,EA,E,PS,0
Need for Speed: Most Wanted,Racing,2005,Electronic Arts,1.25,83,8.5,EA,T,X360,13
Tom Clancy's Rainbow Six: Vegas,Shooter,2007,Ubisoft,1.25,86,7.6,Ubisoft,M,PS3,17
Tom Clancy's Splinter Cell: Pandora Tomorrow,Action,2004,Ubisoft,1.25,87,8.6,Ubisoft,T,PS2,13
Ridge Racer V,Action,2000,Other,1.24,78,7.7,Namco,E,PS2,0
WWE SmackDown vs. Raw 2009,Fighting,2008,Other,1.24,78,6.9,Yuke's,T,PS2,13
FIFA Street,Sports,2012,Electronic Arts,1.23,76,6.4,EA,E,PS3,0
Frogger: The Great Quest,Platform,2001,Konami Digital Entertainment,1.23,32,4.6,Konami,E,PS2,0
Madden NFL 17,Sports,2016,Electronic Arts,1.23,83,5.9,EA,E,XOne,0
Crash Bandicoot: The Wrath of Cortex,Platform,2002,Other,1.23,70,8.1,Traveller's Tales,E,XB,0
LEGO The Lord of the Rings,Action,2012,Warner Bros. Interactive Entertainment,1.23,80,8.5,TT Games,E10+,X360,10
Hyrule Warriors,Action,2014,Nintendo,1.23,76,8.3,Omega Force,T,WiiU,13
Guitar Hero: Aerosmith,Misc,2008,Activision,1.23,70,6.7,Neversoft Entertainment,T,X360,13
Need for Speed Carbon,Racing,2006,Electronic Arts,1.23,75,7.3,EA,E10+,PS3,10
2010 FIFA World Cup South Africa,Sports,2010,Electronic Arts,1.23,82,7.8,EA,E,PS3,0
NBA 2K2,Sports,2002,Other,1.22,89,7.8,Visual Concepts,E,PS2,0
Super Street Fighter IV: 3D Edition,Fighting,2011,Capcom,1.21,85,8.1,Capcom,T,3DS,13
WWE 2K16,Sports,2015,Take-Two Interactive,1.21,73,7.4,Yuke's,T,PS4,13
Dino Crisis 2,Action,2000,Other,1.21,86,9,Capcom,M,PS,17
Need for Speed Underground,Racing,2003,Electronic Arts,1.21,83,9,EA,E,GC,0
Medal of Honor: Airborne,Shooter,2007,Electronic Arts,1.21,75,7.6,EA,T,PS3,13
Boom Blox,Puzzle,2008,Electronic Arts,1.21,85,8.6,EA,E,Wii,0
The Sims 2: Castaway,Simulation,2007,Electronic Arts,1.2,73,8.2,Maxis,T,Wii,13
F1 2011,Racing,2011,Codemasters,1.2,82,7.1,Codemasters,E,PS3,0
Pikmin 2,Strategy,2004,Nintendo,1.2,90,9.1,Nintendo,E,GC,0
NHL 2002,Sports,2001,Electronic Arts,1.2,92,8.5,EA,E,PS2,0
FIFA Soccer 11,Sports,2010,Electronic Arts,1.2,68,5.4,EA,E,PSP,0
LEGO Batman 2: DC Super Heroes,Action,2012,Warner Bros. Interactive Entertainment,1.19,81,7.5,Traveller's Tales,E10+,PS3,10
Captain Toad: Treasure Tracker,Puzzle,2014,Nintendo,1.19,81,8.6,EA,E,WiiU,0
